kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
11754553,K00775.01,Kepler-52 c,CONFIRMED,CANDIDATE,1,0,0,0,0,16.38489988,5.22E-05,-5.22E-05,172.72782,2.48E-03,-2.48E-03,0.001,0.437,-0.001,3.0249,0.0798,-0.0798,1.13E+03,4.20E+01,-4.20E+01,2,9.00E-02,-1.00E-01,433,,,8.35,1.49,-1.35,28.9,2,q1_q17_dr25_tce,4126,82,-82,4.661,0.022,-0.022,0.615,0.027,-0.029,286.73804,49.97575,15.095
11754553,K00775.02,Kepler-52 b,CONFIRMED,CANDIDATE,1,0,0,0,0,7.8774163,1.49E-05,-1.49E-05,176.3759,1.47E-03,-1.47E-03,0.041,0.409,-0.041,2.0805,0.0517,-0.0517,1.31E+03,3.77E+01,-3.77E+01,2.16,9.00E-02,-1.10E-01,553,,,22.18,3.97,-3.59,38.7,1,q1_q17_dr25_tce,4126,82,-82,4.661,0.022,-0.022,0.615,0.027,-0.029,286.73804,49.97575,15.095
11754553,K00775.03,Kepler-52 d,CONFIRMED,CANDIDATE,1,0,0,0,0,36.4454001,1.81E-04,-1.81E-04,151.60125,3.92E-03,-3.92E-03,0.028,0.437,-0.028,4.007,0.126,-0.126,1.12E+03,5.34E+01,-5.34E+01,1.99,9.00E-02,-9.00E-02,332,,,2.88,0.51,-0.47,21.7,3,q1_q17_dr25_tce,4126,82,-82,4.661,0.022,-0.022,0.615,0.027,-0.029,286.73804,49.97575,15.095
11812062,K00776.01,Kepler-673 b,CONFIRMED,CANDIDATE,1,0,0,0,0,3.728732147,9.36E-07,-9.36E-07,171.793255,1.95E-04,-1.95E-04,0.558,0.13,-0.149,2.683,0.035,-0.035,5.23E+03,1.85E+01,-1.85E+01,6.02,1.22E+00,-5.20E-01,1023,,,258.34,162.58,-65.21,345.2,1,q1_q17_dr25_tce,5497,166,-149,4.577,0.034,-0.136,0.809,0.164,-0.07,290.78574,50.054119,15.523
11853255,K00778.01,Kepler-674 b,CONFIRMED,CANDIDATE,1,0,0,0,0,2.243380573,2.67E-06,-2.67E-06,170.679233,9.00E-04,-9.00E-04,0.915,0.009,-0.63,1.1196,0.0384,-0.0384,8.22E+02,2.56E+01,-2.56E+01,1.99,1.00E-01,-1.20E-01,822,,,107.6,21.47,-20.32,38.9,1,q1_q17_dr25_tce,4149,82,-91,4.698,0.024,-0.027,0.564,0.03,-0.033,285.17621,50.149818,15.135
11909839,K00779.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,10.40599802,2.52E-06,-2.52E-06,177.197466,1.90E-04,-1.90E-04,0.324,0.061,-0.075,6.5036,0.0145,-0.0145,1.45E+04,2.24E+01,-2.24E+01,11.23,2.92E+00,-1.95E+00,833,,,113.94,90.01,-45.01,745.2,1,q1_q17_dr25_tce,5746,173,-173,4.393,0.18,-0.198,0.924,0.241,-0.16,289.23553,50.241001,15.562
11918099,K00780.01,Kepler-675 b,CONFIRMED,CANDIDATE,1,0,0,0,0,2.337437946,1.95E-06,-1.95E-06,171.761982,6.59E-04,-6.59E-04,0.28,0.189,-0.28,1.9982,0.0271,-0.0271,9.71E+02,1.37E+01,-1.37E+01,2.34,1.70E-01,-9.00E-02,1070,,,311.16,69.46,-40.17,82.4,1,q1_q17_dr25_tce,5005,79,-79,4.595,0.012,-0.064,0.765,0.055,-0.028,293.83331,50.23035,15.334
9579641,K00115.03,,CANDIDATE,CANDIDATE,0.871,0,0,0,0,3.43591631,4.73E-05,-4.73E-05,132.6624,1.10E-02,-1.10E-02,0.624,0.037,-0.476,3.133,0.407,-0.407,2.32E+01,3.40E+00,-3.40E+00,0.55,8.00E-02,-7.00E-02,1272,,,617.61,251.11,-186.88,8.7,3,q1_q17_dr25_tce,5779,104,-115,4.339,0.132,-0.108,1.087,0.157,-0.142,287.88733,46.276241,12.791
11923270,K00781.01,Kepler-676 b,CONFIRMED,CANDIDATE,1,0,0,0,0,11.59822233,1.41E-05,-1.41E-05,180.395376,9.23E-04,-9.23E-04,0.679,0.187,-0.47,2.5237,0.052,-0.052,2.80E+03,4.63E+01,-4.63E+01,2.65,2.10E-01,-2.90E-01,396,,,5.82,1.49,-1.63,71,1,q1_q17_dr25_tce,3688,73,-91,4.79,0.05,-0.045,0.473,0.037,-0.051,296.22195,50.28722,15.937
11960862,K00782.01,Kepler-677 b,CONFIRMED,CANDIDATE,1,0,0,0,0,6.575315881,3.73E-06,-3.73E-06,173.634044,4.55E-04,-4.55E-04,0.39,0.065,-0.306,4.3084,0.0306,-0.0306,2.79E+03,1.49E+01,-1.49E+01,5.31,1.50E+00,-8.10E-01,1015,,,251.38,209.1,-91.63,221.1,1,q1_q17_dr25_tce,5992,162,-180,4.415,0.105,-0.195,0.989,0.28,-0.151,290.09805,50.321609,15.312
12020329,K00783.01,Kepler-678 b,CONFIRMED,CANDIDATE,1,0,0,0,0,7.275040844,4.68E-06,-4.68E-06,169.994217,5.07E-04,-5.07E-04,0.547,0.052,-0.229,7.5377,0.0681,-0.0681,3.00E+03,1.15E+01,-1.15E+01,4.86,1.05E+00,-3.70E-01,833,,,113.64,75.31,-28.97,312.1,1,q1_q17_dr25_tce,5485,164,-180,4.556,0.028,-0.161,0.867,0.187,-0.067,295.45529,50.49456,15.08
12066335,K00784.01,Kepler-231 c,CONFIRMED,CANDIDATE,1,0,0,0,0,19.27153892,4.15E-05,-4.15E-05,186.77093,1.82E-03,-1.82E-03,0.031,0.36,-0.031,2.7594,0.0551,-0.0551,1.22E+03,3.53E+01,-3.53E+01,1.93,1.00E-01,-1.20E-01,393,,,5.66,1.13,-1.06,37.1,1,q1_q17_dr25_tce,4077,81,-81,4.702,0.027,-0.027,0.56,0.03,-0.034,293.97336,50.53191,15.385
12066335,K00784.02,Kepler-231 b,CONFIRMED,CANDIDATE,1,0,0,0,0,10.06524317,1.49E-05,-1.49E-05,136.28906,1.19E-03,-1.19E-03,0.628,0.003,-0.478,1.369,0.0393,-0.0393,1.05E+03,3.92E+01,-3.92E+01,1.91,1.00E-01,-1.20E-01,488,,,13.43,2.69,-2.5,30.3,2,q1_q17_dr25_tce,4077,81,-81,4.702,0.027,-0.027,0.56,0.03,-0.034,293.97336,50.53191,15.385